,index,인원,수료,미수료,수료율,대분류,중분류,소분류
483,부가가치세법1,5,1,2,0.3333333333333333,행정안전부,직무공통,소양
430,(마이크로러닝)1분 안에 말하는 신기한 한톡 영어 기초회화1,13,3,7,0.3,행정안전부,직무공통,정책
457,"(MOOC) 일家양득_일과 육아로 지친 부부, 더 행복할 수 없을까?",8,2,5,0.2857142857142857,행정안전부,직무공통,정책
403,행정업무운영제도,18,4,10,0.2857142857142857,행정안전부,직무공통,소양
248,(집합연계) 개인지방소득세 지자체  전문가 양성과정,73,18,51,0.2608695652173913,행정안전부,청렴,청렴
254,실무예제로 배우는 파워포인트 2010,70,14,44,0.2413793103448276,행정안전부,직무공통,소양
400,(집합연계) 고급리더과정,18,4,14,0.2222222222222222,행정안전부,직무공통,정책
442,(집합연계) 지방공기업 사회적 가치,10,2,8,0.2,행정안전부,직무공통,정책
476,국·공유재산관리,6,1,5,0.16666666666666666,행정안전부,직무공통,소양
431,정보화사업 감리,13,1,10,0.09090909090909091,행정안전부,직무공통,정책
301,(집합연계) 5급승진리더과정 직무교과 보충학습,47,3,40,0.06976744186046512,행정안전부,직무공통,정책
367,양도소득세,25,1,19,0.05,행정안전부,직무공통,소양
